iteration|level|ip_address|response_time|country|region|city|longitude|latitude|isp|org
4|9|216.239.51.47|24.682 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
4|10|216.239.51.53|24.684 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
4|11|209.85.247.150|30.168 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
4|12|66.249.94.20|20.319 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
4|13|209.85.142.138|26.562 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
4|14|209.85.243.254|25.379 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
4|15|64.233.174.133|29.493 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
4|16|74.125.196.100|129.898 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
5|1|192.168.0.1|1.569 ms|||||||
5|2|174.111.102.226|26.779 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
5|3|24.25.62.50|19.572 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
5|4|24.93.67.202|85.443 ms|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable
5|5|66.109.6.82|115.658 ms|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable
5|6|205.197.180.41|73.065 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
5|7|205.197.180.54|35.387 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
5|8|216.239.51.53|22.057 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
5|9|216.239.51.47|25.102 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
5|10|66.249.94.20|36.487 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
5|11|108.170.232.71|33.931 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
5|12|64.233.174.133|25.857 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
5|13|209.85.142.157|31.389 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
5|14|74.125.196.100|21.211 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
6|1|192.168.0.1|5.058 ms|||||||
6|2|174.111.102.226|27.105 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
6|3|24.25.62.50|16.070 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
6|4|24.93.64.186|29.611 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
6|5|66.109.6.82|26.835 ms|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable
6|6|205.197.180.41|23.337 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
6|7|205.197.180.54|21.995 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
6|8|216.239.51.53|21.363 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
6|9|216.239.51.47|24.169 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
6|10|216.239.51.243|22.582 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
6|11|108.170.232.71|25.516 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
6|12|209.85.142.140|26.889 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
6|13|209.85.143.197|32.755 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
6|14|64.233.174.133|26.564 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
6|15|209.85.253.1|25.771 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
6|16|173.194.219.113|139.132 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
7|1|192.168.0.1|3.576 ms|||||||
7|2|174.111.102.226|1048.939 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
7|3|24.25.62.50|19.928 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
7|4|24.93.64.186|73.273 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
