ip_address|country|region|city|longitude|latitude|isp|org|level
209.85.248.53|United States|CA|Mountain View|-122.085|37.4229|Google|Google|14
74.125.21.139|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|15
66.249.94.20|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|11
209.85.142.153|United States|CA|Mountain View|-122.085|37.4229|Google|Google|14
216.239.56.166|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|15
216.239.56.164|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|16
74.125.21.139|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|17
209.85.142.138|United States|CA|Mountain View|-122.085|37.4229|Google|Google|11
216.239.51.243|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|12
64.233.175.12|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|15
74.125.21.139|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|16
64.233.175.12|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|12
209.85.253.3|United States|CA|Mountain View|-122.085|37.4229|Google|Google|13
209.85.247.150|United States|CA|Mountain View|-122.085|37.4229|Google|Google|10
209.85.142.138|United States|CA|Mountain View|-122.085|37.4229|Google|Google|12
216.239.56.166|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|14
24.93.64.184|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable|4
24.93.67.200|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable|5
216.58.215.46|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|10
216.239.49.181|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|11
108.170.235.157|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|12
216.239.49.197|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|13
216.239.48.31|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|14
216.239.40.138|United States|FL|Sarasota|-82.356|27.2379|Google|Google|15
64.233.174.133|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|17
209.85.253.1|United States|CA|Mountain View|-122.085|37.4229|Google|Google|18
64.233.185.138|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|19
216.58.215.46|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|9
216.239.62.139|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|10
216.239.48.6|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|14
216.239.48.31|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|15
216.239.48.6|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|16
216.239.40.138|United States|FL|Sarasota|-82.356|27.2379|Google|Google|17
216.239.40.130|United States|FL|Sarasota|-82.356|27.2379|Google|Google|18
216.239.40.118|United States|FL|Sarasota|-82.356|27.2379|Google|Google|19
209.85.142.157|United States|CA|Mountain View|-122.085|37.4229|Google|Google|20
209.85.254.105|United States|CA|Mountain View|-122.085|37.4229|Google|Google|21
64.233.174.133|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|22
64.233.185.138|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|23
24.93.67.202|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable|6
209.85.244.218|United States|CA|Mountain View|-122.085|37.4229|Google|Google|12
216.239.51.245|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|13
66.249.94.20|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|14
209.85.143.193|United States|CA|Mountain View|-122.085|37.4229|Google|Google|16
209.85.243.254|United States|CA|Mountain View|-122.085|37.4229|Google|Google|17
74.125.196.102|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|18
209.85.247.150|United States|CA|Mountain View|-122.085|37.4229|Google|Google|12
216.239.51.243|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|13
209.85.244.218|United States|CA|Mountain View|-122.085|37.4229|Google|Google|14
216.239.51.47|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|10
216.239.51.53|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|11
209.85.142.140|United States|CA|Mountain View|-122.085|37.4229|Google|Google|13
209.85.143.197|United States|CA|Mountain View|-122.085|37.4229|Google|Google|14
64.233.185.113|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|16
209.85.143.197|United States|CA|Mountain View|-122.085|37.4229|Google|Google|16
173.194.219.113|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|17
216.239.51.53|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|12
209.85.142.140|United States|CA|Mountain View|-122.085|37.4229|Google|Google|14
66.249.94.20|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|15
209.85.143.193|United States|CA|Mountain View|-122.085|37.4229|Google|Google|17
173.194.219.113|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|18
209.85.240.63|United States|CA|Mountain View|-122.085|37.4229|Google|Google|10
216.239.48.95|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|11
216.239.48.6|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|12
216.239.48.9|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|13
216.239.40.118|United States|FL|Sarasota|-82.356|27.2379|Google|Google|15
209.85.253.3|United States|CA|Mountain View|-122.085|37.4229|Google|Google|17
216.239.56.164|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|18
74.125.21.100|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|19
216.239.49.197|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|11
216.239.50.93|United States|CA|Mountain View|-122.085|37.4229|Google|Google|12
216.239.49.181|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|13
216.239.48.2|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|15
216.239.40.132|United States|FL|Sarasota|-82.356|27.2379|Google|Google|16
216.239.40.118|United States|FL|Sarasota|-82.356|27.2379|Google|Google|17
216.239.40.132|United States|FL|Sarasota|-82.356|27.2379|Google|Google|18
216.239.56.164|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|19
209.85.142.153|United States|CA|Mountain View|-122.085|37.4229|Google|Google|20
209.85.248.53|United States|CA|Mountain View|-122.085|37.4229|Google|Google|21
74.125.21.100|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|22
216.239.62.139|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|11
216.239.50.97|United States|CA|Mountain View|-122.085|37.4229|Google|Google|13
216.239.49.181|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|14
216.239.48.6|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|15
216.239.48.2|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|16
216.239.56.164|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|20
64.233.175.12|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|21
216.58.215.46|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|11
209.85.240.63|United States|CA|Mountain View|-122.085|37.4229|Google|Google|12
216.239.50.93|United States|CA|Mountain View|-122.085|37.4229|Google|Google|13
209.85.240.63|United States|CA|Mountain View|-122.085|37.4229|Google|Google|14
216.239.48.9|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|16
216.239.48.31|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|17
216.239.40.132|United States|FL|Sarasota|-82.356|27.2379|Google|Google|19
216.239.40.138|United States|FL|Sarasota|-82.356|27.2379|Google|Google|20
216.239.56.164|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|22
74.125.21.100|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|23
216.239.48.101|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|12
216.239.40.132|United States|FL|Sarasota|-82.356|27.2379|Google|Google|17
216.239.40.138|United States|FL|Sarasota|-82.356|27.2379|Google|Google|18
74.125.21.100|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|20
216.239.49.181|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|12
216.239.40.138|United States|FL|Sarasota|-82.356|27.2379|Google|Google|19
209.85.254.107|United States|CA|Mountain View|-122.085|37.4229|Google|Google|20
216.239.56.164|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|21
209.85.253.3|United States|CA|Mountain View|-122.085|37.4229|Google|Google|22
216.239.50.97|United States|CA|Mountain View|-122.085|37.4229|Google|Google|12
216.239.40.130|United States|FL|Sarasota|-82.356|27.2379|Google|Google|16
209.85.254.107|United States|CA|Mountain View|-122.085|37.4229|Google|Google|19
209.85.253.3|United States|CA|Mountain View|-122.085|37.4229|Google|Google|20
